N,N_once,N_rec,N_rung,accounting,backprop,budget_mult,budget_tokens,cell,compiled,d_model,deploy_flops_per_token,emb_in,executed_layers,k_bwd,lr0,n_avg_points,n_coda,n_core,n_layers,n_prelude,name,placement,r,rung,seed,step,time,tokens_seen,torch_version,train_flops,train_flops_per_token,val_code,val_finemath,val_fwe,val_second,valavg_code,valavg_finemath,valavg_fwe,valavg_second
26844608,26844608,0,26844608,iso_token,full,10.0,268435456,dense/full,True,448,68354048.0,7340032,8,0,0.0015,3,0,0,8,8,20M_dense_r1_lr1.50e-03_b2_099_s42,dense,1,20M,42,2048,2026-09-24 03:28:36,268435456,2.6.0+cu124,5.504595013297766e+16,205062144.0,3.2024678417104444,3.66978795309537,3.6604346118258877,3.9203356641343916,3.2024678417104444,3.66978795309537,3.665687423144178,3.9268367875994232
26844608,26844608,0,26844608,iso_token,full,10.0,268435456,dense/full,True,448,68354048.0,7340032,8,0,0.0015,3,0,0,8,8,20M_dense_r1_lr1.50e-03_s42,dense,1,20M,42,2048,2026-09-24 03:05:24,268435456,2.6.0+cu124,5.504595013297766e+16,205062144.0,3.4973924114470853,3.635398454352657,3.652443107246542,3.9316663032705765,3.4973924114470853,3.635398454352657,3.6575999674272706,3.9391328610780305
26844608,26844608,0,26844608,iso_token,full,10.0,268435456,dense/full,True,448,68354048.0,7340032,8,0,0.003,3,0,0,8,8,20M_dense_r1_lr3.00e-03_b2_099_s42,dense,1,20M,42,2048,2026-09-24 03:23:39,268435456,2.6.0+cu124,5.504595013297766e+16,205062144.0,3.195625508425453,3.662754308218524,3.6858811969886767,3.9394635088975622,3.195625508425453,3.662754308218524,3.6920294216278715,3.946058292602786
26844608,26844608,0,26844608,iso_token,full,10.0,268435456,dense/full,True,448,68354048.0,7340032,8,0,0.003,3,0,0,8,8,20M_dense_r1_lr3.00e-03_s42,dense,1,20M,42,2048,2026-09-24 03:05:09,268435456,2.6.0+cu124,5.504595013297766e+16,205062144.0,3.249208949176307,3.687208797761869,3.6855275238176484,3.947679125825037,3.249208949176307,3.687208797761869,3.691796592053963,3.9550326817832353
26844608,26844608,0,26844608,iso_token,full,10.0,268435456,dense/full,True,448,68354048.0,7340032,8,0,0.006,3,0,0,8,8,20M_dense_r1_lr6.00e-03_b2_099_s42,dense,1,20M,42,2048,2026-09-24 03:40:35,268435456,2.6.0+cu124,5.504595013297766e+16,205062144.0,6.553619811065027,5.686245298295287,5.18757084272042,5.6492336656840845,6.553619811065027,5.686245298295287,5.196679359801244,5.660800229108818
26844608,26844608,0,26844608,iso_token,full,10.0,268435456,dense/full,True,448,68354048.0,7340032,8,0,0.006,3,0,0,8,8,20M_dense_r1_lr6.00e-03_s42,dense,1,20M,42,2048,2026-09-24 03:06:39,268435456,2.6.0+cu124,5.504595013297766e+16,205062144.0,3.4048665136878595,3.738425448671915,3.753492336479444,4.020424975795159,3.4048665136878595,3.738425448671915,3.761128678170406,4.028449761943411
26844608,26844608,0,26844608,iso_token,full,10.0,268435456,dense/full,True,448,68354048.0,7340032,8,0,0.00075,3,0,0,8,8,20M_dense_r1_lr7.50e-04_b2_099_s42,dense,1,20M,42,2048,2026-09-24 03:25:28,268435456,2.6.0+cu124,5.504595013297766e+16,205062144.0,3.506424335356493,3.723381600226866,3.703824527220477,3.9771802538301007,3.506424335356493,3.723381600226866,3.7081449670893973,3.9818912057237092
26844608,26844608,0,26844608,iso_token,full,10.0,268435456,dense/full,True,448,68354048.0,7340032,8,0,0.00075,3,0,0,8,8,20M_dense_r1_lr7.50e-04_s42,dense,1,20M,42,2048,2026-09-24 03:05:19,268435456,2.6.0+cu124,5.504595013297766e+16,205062144.0,3.621154650217999,3.6830438472703273,3.6891219217888387,3.9694395133423725,3.621154650217999,3.6830438472703273,3.6933117072152104,3.9711860061320503
50145920,50145920,0,50145920,iso_token,full,9.998,501350400,dense/full,True,640,121241600.0,10485760,8,0,0.001,3,0,0,8,8,40M_dense_r1_lr1.00e-03_s42,dense,1,40M,42,2448,2026-09-24 04:26:12,501350400,2.6.0+cu124,1.8235357396992e+17,363724800.0,3.1759131306309434,3.411165555094398,3.422190821902254,3.695793023936351,3.1759131306309434,3.411165555094398,3.425283234968571,3.698928739517033
50145920,50145920,0,50145920,iso_token,full,9.998,501350400,dense/full,True,640,121241600.0,10485760,8,0,0.002,3,0,0,8,8,40M_dense_r1_lr2.00e-03_s42,dense,1,40M,42,2448,2026-09-24 04:23:12,501350400,2.6.0+cu124,1.8235357396992e+17,363724800.0,2.982328171420223,3.379788122457401,3.4004705966305084,3.663627299251208,2.982328171420223,3.379788122457401,3.404073362975986,3.667384070950353
50145920,50145920,0,50145920,iso_token,full,9.998,501350400,dense/full,True,640,121241600.0,10485760,8,0,0.004,3,0,0,8,8,40M_dense_r1_lr4.00e-03_s42,dense,1,40M,42,2448,2026-09-24 04:35:44,501350400,2.6.0+cu124,1.8235357396992e+17,363724800.0,3.022453984798701,3.4318584827324266,3.4370105113055027,3.7020414141940665,3.022453984798701,3.4318584827324266,3.4414280801079684,3.7061568639746887
50145920,50145920,0,50145920,iso_token,full,9.998,501350400,dense/full,True,640,121241600.0,10485760,8,0,0.0005,3,0,0,8,8,40M_dense_r1_lr5.00e-04_s42,dense,1,40M,42,2448,2026-09-24 04:15:30,501350400,2.6.0+cu124,1.8235357396992e+17,363724800.0,3.433815806064974,3.4866407076753747,3.5126594364120636,3.797080546576309,3.433815806064974,3.4866407076753747,3.5153183988700487,3.7995387584003066
50145920,50145920,0,50145920,iso_token,full,9.998,501350400,dense/full,True,640,121241600.0,10485760,8,0,0.008,3,0,0,8,8,40M_dense_r1_lr8.00e-03_s42,dense,1,40M,42,2448,2026-09-24 05:15:31,501350400,2.6.0+cu124,1.8235357396992e+17,363724800.0,3.997611835202975,4.5190286290400845,4.61096944728491,4.792396043182048,3.997611835202975,4.5190286290400845,4.620354033926639,4.804485422218092
92683136,92683136,0,92683136,iso_token,full,9.998,926679040,dense/full,True,896,214695936.0,14680064,8,0,0.0015,3,0,0,8,8,80M_dense_r1_lr1.50e-03_s42,dense,1,80M,42,2828,2026-09-24 19:46:36,926679040,2.6.0+cu124,5.968626715931443e+17,644087808.0,2.961799578588317,3.177780444107751,3.187078478920906,3.4664453488085702,2.961799578588317,3.177780444107751,3.190438415373906,3.469765879954761
92683136,92683136,0,92683136,iso_token,full,9.998,926679040,dense/full,True,896,214695936.0,14680064,8,0,0.003,3,0,0,8,8,80M_dense_r1_lr3.00e-03_s42,dense,1,80M,42,2828,2026-09-24 20:30:56,926679040,2.6.0+cu124,5.968626715931443e+17,644087808.0,2.890517733246126,3.19805918750135,3.1898368270760273,3.464812646525704,2.890517733246126,3.19805918750135,3.1937798808486306,3.4687931067610767
92683136,92683136,0,92683136,iso_token,full,9.998,926679040,dense/full,True,896,214695936.0,14680064,8,0,0.000375,3,0,0,8,8,80M_dense_r1_lr3.75e-04_s42,dense,1,80M,42,2828,2026-09-24 18:42:39,926679040,2.6.0+cu124,5.968626715931443e+17,644087808.0,3.2111651011554825,3.380661745566046,3.331278025591277,3.6251697832767418,3.2111651011554825,3.380661745566046,3.3338431087789835,3.6280824901394673
92683136,92683136,0,92683136,iso_token,full,9.998,926679040,dense/full,True,896,214695936.0,14680064,8,0,0.006,3,0,0,8,8,80M_dense_r1_lr6.00e-03_s42,dense,1,80M,42,2828,2026-09-24 20:17:25,926679040,2.6.0+cu124,5.968626715931443e+17,644087808.0,2.909921796034634,3.3040389976684086,3.2977502247991692,3.5614091991358934,2.909921796034634,3.3040389976684086,3.3028306006369625,3.566843648502347
92683136,92683136,0,92683136,iso_token,full,9.998,926679040,dense/full,True,896,214695936.0,14680064,8,0,0.00075,3,0,0,8,8,80M_dense_r1_lr7.50e-04_s42,dense,1,80M,42,2828,2026-09-24 18:23:58,926679040,2.6.0+cu124,5.968626715931443e+17,644087808.0,3.034832749557925,3.23660740663877,3.225563301445958,3.5103796662947873,3.034832749557925,3.23660740663877,3.228465587085445,3.5122981860097173
94288768,53682048,40606720,92683136,iso_token,full,9.998,926679040,middle/full,True,896,505544704.0,14680064,20,0,0.00075,3,2,4,8,2,80M_middle_r4_full_x0.5_s42,middle,4,80M,42,2828,2026-09-24 16:16:58,926679040,2.6.0+cu124,1.4054330429394125e+18,1516634112.0,2.7930388943915005,3.1357107354372573,3.1943700339544745,3.45057652442297,2.7930388943915005,3.1357107354372573,3.1978056060372992,3.4533545788419295
94288768,53682048,40606720,92683136,iso_token,full,9.998,926679040,middle/full,True,896,505544704.0,14680064,20,0,0.0015,3,2,4,8,2,80M_middle_r4_full_x1.0_s42,middle,4,80M,42,2828,2026-09-24 17:32:17,926679040,2.6.0+cu124,1.4054330429394125e+18,1516634112.0,2.726336821378892,3.1289756358124547,3.1579243510636825,3.414107531789786,2.726336821378892,3.1289756358124547,3.161965387808476,3.4174299119098386
94288768,53682048,40606720,92683136,iso_token,full,9.998,926679040,middle/full,True,896,505544704.0,14680064,20,0,0.003,3,2,4,8,2,80M_middle_r4_full_x2.0_s42,middle,4,80M,42,2828,2026-09-24 18:18:59,926679040,2.6.0+cu124,1.4054330429394125e+18,1516634112.0,2.894858341906503,3.158710542481272,3.205259000736479,3.469278326891979,2.894858341906503,3.158710542481272,3.2100268046152345,3.4748098176250735
