N,N_once,N_rec,N_rung,accounting,backprop,budget_mult,budget_tokens,cell,compiled,d_model,deploy_flops_per_token,emb_in,executed_layers,git_commit,k_bwd,lr0,n_avg_points,n_coda,n_core,n_layers,n_prelude,name,placement,r,rung,seed,step,time,tokens_seen,torch_version,train_flops,train_flops_per_token,val_code,val_finemath,val_fwe,val_second,valavg_code,valavg_finemath,valavg_fwe,valavg_second
27246016,17092544,10153472,26844608,iso_token,trunc,10.0,268435456,middle/trunc,False,448,262635520.0,7340032,36,23d022a+dirty,4,0.000765,3,2,4,8,2,20M_middle_r8_k4_lrx0.5_s42,middle,8,20M,42,2048,2026-09-25 16:20:52,268435456,2.6.0+cu124,1.5214602100513178e+17,566788096.0,3.3510859466100777,3.646500867227702,3.71564664320775,3.9657057486312386,3.3510859466100777,3.646500867227702,3.7203857433997425,3.970211843556975
27246016,17092544,10153472,26844608,iso_token,trunc,10.0,268435456,middle/trunc,False,448,262635520.0,7340032,36,23d022a+dirty,4,0.0010863,3,2,4,8,2,20M_middle_r8_k4_lrx0.71_s42,middle,8,20M,42,2048,2026-09-25 16:39:04,268435456,2.6.0+cu124,1.5214602100513178e+17,566788096.0,3.5195156328079125,3.6144341546375505,3.6946606119835104,3.9543010851100417,3.5195156328079125,3.6144341546375505,3.699910369654661,3.9603805308102475
27246016,17092544,10153472,26844608,iso_token,trunc,10.0,268435456,middle/trunc,False,448,262635520.0,7340032,36,23d022a+dirty,4,0.00153,3,2,4,8,2,20M_middle_r8_k4_lrx1.0_s42,middle,8,20M,42,2048,2026-09-25 17:26:16,268435456,2.6.0+cu124,1.5214602100513178e+17,566788096.0,3.4527495902631147,3.578663551412501,3.6672730394299182,3.9258752362005818,3.4527495902631147,3.578663551412501,3.6730841770993994,3.9301265227296796
27246016,7340480,19905536,26844608,iso_token,full,10.0,268435456,whole/full,True,448,123633664.0,7340032,16,23d022a+dirty,0,0.000765,3,0,8,8,0,20M_whole_r2_full_lrx0.5_s42,whole,2,20M,42,2048,2026-09-25 18:35:00,268435456,2.6.0+cu124,9.956297691837235e+16,370900992.0,3.844227191899072,3.7676771236304636,3.7671066138319937,4.0604412925938576,3.844227191899072,3.7676771236304636,3.7719618961182877,4.062721942180052
27246016,7340480,19905536,26844608,iso_token,full,10.0,268435456,whole/full,True,448,123633664.0,7340032,16,23d022a+dirty,0,0.0010863,3,0,8,8,0,20M_whole_r2_full_lrx0.71_s42,whole,2,20M,42,2048,2026-09-25 18:41:56,268435456,2.6.0+cu124,9.956297691837235e+16,370900992.0,4.257019866612105,3.722144912400191,3.745023280911943,4.073344719818273,4.257019866612105,3.722144912400191,3.7504251993762705,4.075993200382236
27246016,7340480,19905536,26844608,iso_token,full,10.0,268435456,whole/full,True,448,123633664.0,7340032,16,23d022a+dirty,0,0.00153,3,0,8,8,0,20M_whole_r2_full_lrx1.0_s42,whole,2,20M,42,2048,2026-09-25 18:57:06,268435456,2.6.0+cu124,9.956297691837235e+16,370900992.0,3.4255130572116634,3.688476365085364,3.757677022485209,4.013131277137965,3.4255130572116634,3.688476365085364,3.763644285437183,4.01987583590484
27246016,7340480,19905536,26844608,iso_token,full,10.0,268435456,whole/full,False,448,232587264.0,7340032,32,23d022a+dirty,0,0.000765,3,0,8,8,0,20M_whole_r4_full_lrx0.5_s42,whole,4,20M,42,2048,2026-09-25 15:31:47,268435456,2.6.0+cu124,1.8730400481489715e+17,697761792.0,3.5968746773493856,3.75443233275925,3.8213344990811615,4.077960941430324,3.5968746773493856,3.75443233275925,3.82670336188144,4.084596790504935
27246016,7340480,19905536,26844608,iso_token,full,10.0,268435456,whole/full,False,448,232587264.0,7340032,32,23d022a+dirty,0,0.0010863,3,0,8,8,0,20M_whole_r4_full_lrx0.71_s42,whole,4,20M,42,2048,2026-09-25 15:49:27,268435456,2.6.0+cu124,1.8730400481489715e+17,697761792.0,3.8673508587316165,3.767362806911897,3.820470926186821,4.103777320659275,3.8673508587316165,3.767362806911897,3.826259031492652,4.109925116595529
27246016,7340480,19905536,26844608,iso_token,full,10.0,268435456,whole/full,False,448,232587264.0,7340032,32,23d022a+dirty,0,0.00153,3,0,8,8,0,20M_whole_r4_full_lrx1.0_s42,whole,4,20M,42,2048,2026-09-25 16:14:02,268435456,2.6.0+cu124,1.8730400481489715e+17,697761792.0,3.525460757831294,3.7717987140577196,3.789250969408263,4.053952493423947,3.525460757831294,3.7717987140577196,3.7956046646255452,4.059567512545541
27246016,7340480,19905536,26844608,iso_token,trunc,10.0,268435456,whole/trunc,False,448,232587264.0,7340032,32,23d022a+dirty,2,0.000765,3,0,8,8,0,20M_whole_r4_k2_lrx0.5_s42,whole,4,20M,42,2048,2026-09-25 17:22:47,268435456,2.6.0+cu124,1.2880998621721395e+17,479854592.0,3.505093310360388,3.635012367257422,3.7109884063998515,3.9728439759380483,3.505093310360388,3.635012367257422,3.715518235658975,3.976409308187257
27246016,7340480,19905536,26844608,iso_token,trunc,10.0,268435456,whole/trunc,False,448,232587264.0,7340032,32,23d022a+dirty,2,0.0010863,3,0,8,8,0,20M_whole_r4_k2_lrx0.71_s42,whole,4,20M,42,2048,2026-09-25 17:29:12,268435456,2.6.0+cu124,1.2880998621721395e+17,479854592.0,3.308573126176445,3.5675022913852867,3.6538009239061466,3.9058519617386063,3.308573126176445,3.5675022913852867,3.658763617385381,3.9096460493328755
27246016,7340480,19905536,26844608,iso_token,trunc,10.0,268435456,whole/trunc,False,448,232587264.0,7340032,32,23d022a+dirty,2,0.00153,3,0,8,8,0,20M_whole_r4_k2_lrx1.0_s42,whole,4,20M,42,2048,2026-09-25 17:37:48,268435456,2.6.0+cu124,1.2880998621721395e+17,479854592.0,3.2711829093492475,3.564036631338803,3.6445757264224534,3.895572796571542,3.2711829093492475,3.564036631338803,3.649919052236784,3.8989808215500563
27246016,7340480,19905536,26844608,iso_token,full,10.0,268435456,whole/full,False,448,450494464.0,7340032,64,23d022a+dirty,0,0.000765,3,0,8,8,0,20M_whole_r8_full_lrx0.5_s42,whole,8,20M,42,2048,2026-09-25 12:38:06,268435456,2.6.0+cu124,3.6278606060794675e+17,1351483392.0,3.1438752610857637,3.583183057296844,3.6555615551321123,3.900653765025907,3.1438752610857637,3.583183057296844,3.660304691135218,3.9055113680642286
27246016,7340480,19905536,26844608,iso_token,full,10.0,268435456,whole/full,False,448,450494464.0,7340032,64,23d022a+dirty,0,0.0010863,3,0,8,8,0,20M_whole_r8_full_lrx0.71_s42,whole,8,20M,42,2048,2026-09-25 12:52:37,268435456,2.6.0+cu124,3.6278606060794675e+17,1351483392.0,3.5447531883437406,3.5063773400650113,3.5999366282791745,3.8752096325050736,3.5447531883437406,3.5063773400650113,3.605154685393911,3.8807736616714243
27246016,7340480,19905536,26844608,iso_token,full,10.0,268435456,whole/full,False,448,450494464.0,7340032,64,23d022a+dirty,0,0.00153,3,0,8,8,0,20M_whole_r8_full_lrx1.0_s42,whole,8,20M,42,2048,2026-09-25 12:37:07,268435456,2.6.0+cu124,3.6278606060794675e+17,1351483392.0,3.2734256169987765,3.4798511578907196,3.5946656004689372,3.845617670207448,3.2734256169987765,3.4798511578907196,3.6004858578297334,3.8564387841856433
27246016,7340480,19905536,26844608,iso_token,trunc,10.0,268435456,whole/trunc,False,448,450494464.0,7340032,64,23d022a+dirty,4,0.000765,3,0,8,8,0,20M_whole_r8_k4_lrx0.5_s42,whole,8,20M,42,2048,2026-09-25 11:47:00,268435456,2.6.0+cu124,2.4579802341258035e+17,915668992.0,3.1975784490725077,3.5966176997802877,3.6494494016529684,3.905677783141933,3.1975784490725077,3.5966176997802877,3.6542569045135607,3.9111626085478934
27246016,7340480,19905536,26844608,iso_token,trunc,10.0,268435456,whole/trunc,False,448,450494464.0,7340032,64,23d022a+dirty,4,0.0010863,3,0,8,8,0,20M_whole_r8_k4_lrx0.71_s42,whole,8,20M,42,2048,2026-09-25 13:38:07,268435456,2.6.0+cu124,2.4579802341258035e+17,915668992.0,3.1808405536873097,3.5063644094551636,3.60964669823461,3.862836535579628,3.1808405536873097,3.5063644094551636,3.614802772169836,3.8687062037086135
27246016,7340480,19905536,26844608,iso_token,trunc,10.0,268435456,whole/trunc,False,448,450494464.0,7340032,64,23d022a+dirty,4,0.00153,3,0,8,8,0,20M_whole_r8_k4_lrx1.0_s42,whole,8,20M,42,2048,2026-09-25 14:27:15,268435456,2.6.0+cu124,2.4579802341258035e+17,915668992.0,3.311603425547773,3.4815831911935584,3.588584580506995,3.845027771396978,3.311603425547773,3.4815831911935584,3.594495931558022,3.8525699186281943
